UID,昵称,性别,签名,等级,头衔,关注数,粉丝数
85754245,superB太,保密,"唯一合作邮箱：superbtai@163.com
微博：superB太
嘴巴常年烂和干",6.0,bilibili 知名Vlog UP主,72.0,2052024.0
447317111,Meetfood觅食,男,海外美食测评，美食的背后是文化和故事     商务合作请联系vx：Ninomiya_T（添加注明品牌）,6.0,2023百大UP主、知名美食UP主,221.0,4029339.0
519253600,火柴人AlanBecker,保密,Alan Becker官方频道,6.0,2023年度最佳作品、2021百大UP主、Alan Becker官方帐号,9.0,3714991.0
1659651634,七颗猩猩QKXX,保密,承蒙厚爱，多谢关注！合作：Wangzhixin928邮箱：qikexingxing@qq.com,6.0,七颗猩猩官方账号，搞笑视频UP主,27.0,2722807.0
1636034895,绝区零,保密,绝区零官方账号,6.0,绝区零官方账号,7.0,6291516.0
74529609,魔界造物,保密,脑洞很大的极客炸机佬，喜欢做些奇怪有趣的小玩具，商务VX:MJZW20190723（备注公司，合作项目）,6.0,bilibili 知名UP主,83.0,1028337.0
489763089,毕的二阶导,男,"分享科学的快乐和美！
小号:毕导
商务联系：s1012295607",6.0,bilibili 知名科普UP主,47.0,765071.0
1895195099,江寻千,保密,人间烟火味 最抚凡人心  ,6.0,bilibili 知名美食UP主,37.0,4043190.0
1019455982,樱桃马天妮,女,欢迎来到未来世界。一个执着于脑洞的美少女，收录各种女性烦恼。合作+V：18888178190 ,6.0,bilibili 知名影视UP主,31.0,1129956.0
44688866,姜峰真的苟,男,合作Jfzdg888,6.0,bilibili 知名UP主，《我是特优声》声音演员,410.0,3479205.0
3178005,小杨Johnson,男,小潮tEam杂谈区的唯一正常人！商务合作请联系QQ2284771898,6.0,bilibili 知名UP主,206.0,815810.0
38968617,大福咕咕,男,"盘点是假，搞笑是真
商务合作wx：dafugugu425（需注明商家）",6.0,bilibili 知名UP主,28.0,1312840.0
390527713,史蒂猪StevenPig,男,商务wx：StevenPigg，把心思放在作品上，没更新时一般都在睡觉。,6.0,2023百大UP主、知名UP主,136.0,2409660.0
623906369,小潮team,保密,小潮工作室官方账号 商务合作请联系QQ2284771898,6.0,小潮工作室官方账号,17.0,2444079.0
1546121595,Yurin_幽陵,男,"接音 合作+Q：2061614447
v：A261614447
粉丝群：654937607
各平台搜：Yurin 不出意外都能找到我～",6.0,,176.0,98611.0
480959917,良田田田,男,各花各有各花香,6.0,,16.0,2260749.0
482213447,闪电侠-flash,男,"我有一壶酒，足以慰风尘
尽倾江海里，赠饮天下人",6.0,bilibili 知名UP主,3169.0,699026.0
10126216,叶开叶师傅,保密,@阿墨,6.0,,577.0,316392.0
15634833,鲤鱼Ace,保密,鲤鱼跃龙门~,6.0,bilibili 知名游戏UP主,1.0,6540803.0
397194593,猫奴补习班,女,网      店：猫奴补习班 猫舍日常：@几米布偶猫家 猫咪训练：@几米猫家,6.0,,58.0,220346.0
408907896,脊医博士鹏哥,男,"清华大学博士后/脊骨神经学博士
中国奥委会备战特聘运动脊医专家
LU美国生命大学教授/中国区主任
脊柱健康任重道远，加jjjica2023",6.0,,19.0,1278745.0
482742517,西安卖电脑的老王,男,我只是一个努力的中年人,2.0,,17.0,24074.0
407054668,亿点点不一样,保密,我们不是科普，我们与你一起发现,6.0,bilibili 知名UP主,55.0,3877070.0
6336952,老李船长,男,合作wx：laoliczwork 请备注合作！,6.0,bilibili 知名UP主,260.0,1885213.0
